caso,bolha_k,delta_t_ambiente_k,preservar_rh,tempo_total_min,cfl_max_adv,cfl_max_diff,w_max_m_s,tempo_w_max_s,z_w_max_m,topo_nuvem_m,qc_max_kgkg,qr_max_kgkg,qi_max_kgkg,qs_max_kgkg,qg_max_kgkg,q_liquido_fase_mista_max_kgkg,q_congelado_fase_mista_max_kgkg,qg_fase_mista_max_kgkg,fase_mista_ativa,w_minus15_max_m_s,qg_minus15_max_kgkg,graupel_minus15_ativo,updraft_minus15_ativo,f1_max,f2_max,f3_max,lpi_star_max,f3_mean_valid,lpi_star_mean_valid,frac_mccaul_valido,frac_lpi_valido,cfl_adv_ok,cfl_diff_ok,cfl_ok,f3_ativo,lpi_ativo,candidato_B0,w_max_sobre_CTRL,qg_minus15_sobre_CTRL,F3_max_sobre_CTRL,LPI_star_max_sobre_CTRL
CTRL,10.0,0.0,True,40.0,0.15576834730625966,0.005,14.075018826967135,300.0,1500.0,10900.0,0.011006954552763057,0.004919289018610039,0.006643533000427134,0.0004756073978643601,0.00048046656277701827,0.004389080555360413,0.006659194375791635,0.00048046656277701827,True,10.30519768680994,7.884592985454886e-05,True,True,0.03412596154596198,0.6756528617797067,0.06620230655764922,5.7470362536700685,0.0034045207391878974,0.037799678421330384,1.0,1.0,True,True,True,True,True,True,1.0,1.0,1.0,1.0
WARM,10.0,4.0,True,40.0,0.16791267154236295,0.005,14.6118067386594,300.0,1500.0,10900.0,0.008144000038824794,0.004393180922672284,0.006719462747885297,0.0006510939095857322,0.0004122974809943367,0.008075906944656172,0.006802212618327727,0.0004122974809943367,True,9.560111438667281,2.5476196264001536e-05,True,True,0.010229321563322978,0.7731582348141781,0.04321658889700908,11.891326331586535,0.005429467090679585,0.07179726520374179,1.0,1.0,True,True,True,True,True,True,1.038137633653733,0.3231136510280085,0.6527958185169259,2.0691232500913337
BUBBLE_PLUS,14.0,0.0,True,40.0,0.23196691997904773,0.005,21.573453598885298,900.0,5400.0,10900.0,0.01001300864263567,0.005103192148515885,0.0066752513341718864,0.0027597220203574597,0.0004023044773306341,0.005625520462157232,0.006941033165137249,0.0004023044773306341,True,12.647176365527681,3.382168942331857e-05,True,True,0.01125744410410409,1.1746349715852806,0.0666542615422149,26.673479790938718,0.011022433183059096,0.31404513196377765,1.0,1.0,True,True,True,True,True,True,1.5327477614133973,0.42895923081522636,1.0068268767066615,4.641258313605553
WARM_BUBBLE_PLUS,14.0,4.0,True,40.0,0.2696446499306213,0.005,24.92726138110231,900.0,5900.0,10900.0,0.009227181854254703,0.00359275175678492,0.008252769419578412,0.0033818148261015846,0.00022849671880050942,0.00849074365743009,0.008317172556900109,0.00022849671880050942,True,15.89036189873224,7.67185951935509e-05,True,True,0.05120162216349028,1.3299106190718917,0.10447393114203785,34.60076017133215,0.01491438241729975,0.35248594414069606,1.0,1.0,True,True,True,True,True,True,1.7710286350269557,0.9730190935039721,1.578101074938553,6.020626744652261
