caso,t_stat,p_valor,significativo_5%,significativo_1%
SEM-NUC,-0.42840711185686403,0.6709110900459945,False,False
SEM-DEP,-4.135998647661116,0.00042259348484862796,True,True
SEM-CONG-NUV,1.009919226207216,0.32305656434501795,False,False
SEM-CONG-CHUVA,1.2468883541825428,0.224870727175993,False,False
SEM-RIMING,-5.018628414234965,4.424818831842985e-05,True,True
SEM-HM,-5.1851972878545745,3.383299867617078e-05,True,True
SEM-GELO-NEVE,-5.039402064126348,1.9852343262978005e-05,True,True
SEM_RIMING_HM,-5.018628414234965,4.424818831842985e-05,True,True
SEM_CONG_CHUVA_RIMING,-0.46701786908097254,0.643304603069689,False,False
