Caso,Gelo,Neve,Graupel,Precip.*,w_max,McCaul,LPI*
CTRL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEM-NUC,0.7953906882232753,0.9992706692822992,1.2769861125821642,1.0000937453270027,1.0005337474111877,0.9973099327914446,1.6720681157402142
SEM-DEP,0.6076463449289521,0.7504342776671153,7.8808353331777345,0.9985742474439698,0.9511371320371833,2.3269097186883974,3.8057572167678537
SEM-CONG-NUV,0.645929721329931,0.5028959105183657,0.6828947741830188,0.9989601656404147,0.988298999284967,1.0288344935614984,4.232614213320576
SEM-CONG-CHUVA,1.2101327605971288,1.0017485206241903,0.7137217229735381,0.9998883174285027,0.9992196601366842,1.0829153092247472,0.7532101074422887
SEM-RIMING,0.6126373078667912,0.49768890832043644,5.107765913746008,0.9987858016879073,0.9532549079359665,1.2170913606598945,2.3784523915932065
SEM-HM,0.572976049627095,0.5053988982862545,6.66833865849577,0.9988475338498959,0.9533880515789745,2.657275285154112,2.8701841289988277
SEM-GELO-NEVE,1.438846285273353,0.0,6.33364217224781,0.9999957483869693,1.0008250617601002,1.0343698039016043,2.9125767902950206
SEM_RIMING_HM,0.6126373078667912,0.49768890832043644,5.107765913746008,0.9987858016879073,0.9532549079359665,1.2170913606598945,2.3784523915932065
SEM_CONG_CHUVA_RIMING,0.6386772159879512,0.5419948336637497,1.114311880438815,0.9988097587943433,0.9534944045395642,0.5061464126998749,1.4628943822820706
