caso,t_stat,p_valor,significativo_5%,significativo_1%
SEM-NUC,-0.14353004993318405,0.8867307170879948,False,False
SEM-DEP,-0.7161796344561626,0.48139084810434885,False,False
SEM-CONG-NUV,-0.5184057368630715,0.6094933316376097,False,False
SEM-CONG-CHUVA,0.5413668488598068,0.5922189891143724,False,False
SEM-RIMING,-0.42781904570753154,0.6721042944459865,False,False
SEM-HM,-0.6884173698281113,0.4975891701609444,False,False
SEM-GELO-NEVE,-0.3865067205401909,0.7023924562182917,False,False
SEM_RIMING_HM,-0.42781904570753154,0.6721042944459865,False,False
SEM_CONG_CHUVA_RIMING,0.032652698371645604,0.974134990013172,False,False
