caso,t_stat,p_valor,significativo_5%,significativo_1%
SEM-NUC,-0.002790125080864374,0.9978082975447606,False,False
SEM-DEP,0.1553788025945631,0.8784712513867396,False,False
SEM-CONG-NUV,-0.13038715830941214,0.8978910015678092,False,False
SEM-CONG-CHUVA,0.01801748947735238,0.9858476733548449,False,False
SEM-RIMING,0.10097137169124518,0.9208312021413927,False,False
SEM-HM,0.10410417797419115,0.9183836489908443,False,False
SEM-GELO-NEVE,-0.14055080274107598,0.8899794336707654,False,False
SEM_RIMING_HM,0.10097137169124518,0.9208312021413927,False,False
SEM_CONG_CHUVA_RIMING,0.11076387937735548,0.9131852212415029,False,False
