caso,qg_max_g_kg,tempo_qg_max_min,Ng_no_qgmax_kg1,Dmg_no_qgmax_mm,massa_media_graupel_mg_particula,Nc_qcw_10min_kg1,Dmc_qcw_10min_um,Nc_fm_qcw_20min_kg1,Dmc_fm_qcw_20min_um,qg_m15_max_g_kg,Ng_no_qg_m15max_kg1,Dmg_no_qg_m15max_mm
CTRL,1.5629561999570376,20.0,58619.891748682356,1.0021343259047581,0.013655377789117601,40013883.195963025,84.36239438742888,2180054538.715967,42.99223603956412,0.059582581784956096,7386.706010015315,0.6373103906745802
DYN_PLUS,0.8797548063611197,15.0,36547.84316233058,0.968557269137301,0.011156245698819992,29320461.754675835,92.13903694193148,572358126.6946878,53.051735669355516,0.059886859523436246,3227.7625951145537,0.8718308051186989
WARM_QV,2.3362741504003446e-08,25.0,nan,nan,nan,25893517.98695178,99.68355142084444,nan,nan,0.0,nan,nan
WARM_QV_DYN_PLUS,1.1981560856237545e-07,25.0,nan,nan,nan,62913670.17422311,71.41334721345524,nan,nan,0.0,nan,nan
WARM_RH,0.23529026657404373,20.0,25861.789257336462,0.6770333745072108,0.005928554434594258,46354675.567631125,79.61378972217123,2470148336.4924846,37.50738655940089,0.02827233621597995,3767.2103628088566,0.6044408009192542
WARM_RH_DYN_PLUS,0.4577686906419426,15.0,8283.819162360227,1.2673406833852454,0.020031823032771498,46169014.84446941,81.342800753878,163018601.77412397,26.481699717469837,0.0914039983894782,12456.660981828823,0.6046802115703974
