caso,arquivo,Nc_min_bruto_kg1,Nc_max_bruto_kg1,Ng_min_bruto_kg1,Ng_max_bruto_kg1,qg_max_global_g_kg,tempo_qg_max_min,Ng_no_qg_max_global_kg1,Dmg_no_qg_max_global_mm,massa_qg_integrada_no_tempo_qgmax_kg_m,Ng_integrado_no_tempo_qgmax_m1,massa_media_graupel_no_tempo_qgmax_mg_particula,qg_m15_max_global_g_kg,tempo_qg_m15_max_min,Ng_no_qg_m15_max_global_kg1,Dmg_no_qg_m15_max_global_mm,w_no_qg_m15_max_global_m_s,erro_max_interpolacao_qg_m15_kgkg,erro_max_interpolacao_w_m15_m_s,max_fracao_Nc_invalido_em_qc,max_fracao_Ng_invalido_em_qg,tempo_real_5min,Nc_qcw_5min_kg1,Dmc_qcw_5min_um,Nc_fm_qcw_5min_kg1,Dmc_fm_qcw_5min_um,qg_max_5min_g_kg,Ng_qgmax_5min_kg1,Dmg_qgmax_5min_mm,tempo_real_10min,Nc_qcw_10min_kg1,Dmc_qcw_10min_um,Nc_fm_qcw_10min_kg1,Dmc_fm_qcw_10min_um,qg_max_10min_g_kg,Ng_qgmax_10min_kg1,Dmg_qgmax_10min_mm,tempo_real_15min,Nc_qcw_15min_kg1,Dmc_qcw_15min_um,Nc_fm_qcw_15min_kg1,Dmc_fm_qcw_15min_um,qg_max_15min_g_kg,Ng_qgmax_15min_kg1,Dmg_qgmax_15min_mm,tempo_real_20min,Nc_qcw_20min_kg1,Dmc_qcw_20min_um,Nc_fm_qcw_20min_kg1,Dmc_fm_qcw_20min_um,qg_max_20min_g_kg,Ng_qgmax_20min_kg1,Dmg_qgmax_20min_mm
CTRL,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\CTRL\resultados_CTRL.npz,-216173913.8018487,10840552392.18649,0.0,103013.76458067195,1.5629561999570376,20.0,58619.891748682356,1.0021343259047581,455.06134960065197,33324698637.287403,0.013655377789117601,0.059582581784956096,25.0,7386.706010015315,0.6373103906745802,8.844563432347117,0.0,0.0,0.07692307692307693,0.0,5.0,21969370.126367934,59.17696312580311,nan,nan,0.0,nan,nan,10.0,40013883.195963025,84.36239438742888,nan,nan,0.0,nan,nan,15.0,49553392.46260952,72.43448843020552,30377919.47504763,83.68418529516536,0.45648851305353694,18432.60817980584,0.9840322957298424,20.0,2580167210.798445,41.02322678941409,2180054538.715967,42.99223603956412,1.5629561999570376,58619.891748682356,1.0021343259047581
DYN_PLUS,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\DYN_PLUS\resultados_DYN_PLUS.npz,-20901372.09196972,12272583334.507568,0.0,76582.77409542816,0.8797548063611197,15.0,36547.84316233058,0.968557269137301,349.57513688614813,31334478132.112408,0.011156245698819992,0.059886859523436246,20.0,3227.7625951145537,0.8718308051186989,17.730190846303138,0.0,0.0,0.07446808510638298,0.0,5.0,11313919.083793115,81.77653561104256,nan,nan,0.0,nan,nan,10.0,29320461.754675835,92.13903694193148,nan,nan,1.7086966039531605e-08,nan,nan,15.0,1257558002.9079747,58.69880470805946,1354367646.7729304,55.27481282528191,0.8797548063611197,36547.84316233058,0.968557269137301,20.0,520049228.83565307,52.74641940768691,572358126.6946878,53.051735669355516,0.44414381566650835,24774.042613566555,0.8892157318848173
WARM_QV,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\WARM_QV\resultados_WARM_QV.npz,-18952607.55760094,199996782.47537327,0.0,2.5576635854294323,2.3362741504003446e-08,25.0,nan,nan,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.05714285714285714,nan,5.0,nan,nan,nan,nan,0.0,nan,nan,10.0,25893517.98695178,99.68355142084444,nan,nan,0.0,nan,nan,15.0,23604651.919807278,56.86720526891295,nan,nan,0.0,nan,nan,20.0,nan,nan,nan,nan,0.0,nan,nan
WARM_QV_DYN_PLUS,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\WARM_QV_DYN_PLUS\resultados_WARM_QV_DYN_PLUS.npz,-1720399.6073464178,194299226.07773536,0.0,9.65829232485821,1.1981560856237545e-07,25.0,nan,nan,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.028846153846153848,nan,5.0,nan,nan,nan,nan,0.0,nan,nan,10.0,62913670.17422311,71.41334721345524,nan,nan,0.0,nan,nan,15.0,33457033.722127654,53.2304007235543,nan,nan,0.0,nan,nan,20.0,nan,nan,nan,nan,0.0,nan,nan
WARM_RH,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\WARM_RH\resultados_WARM_RH.npz,-339505088.2109243,10565901498.922937,0.0,56128.36455259287,0.23529026657404373,20.0,25861.789257336462,0.6770333745072108,119.23026365888882,20111186457.72353,0.005928554434594258,0.02827233621597995,20.0,3767.2103628088566,0.6044408009192542,10.286383432663849,0.0,0.0,0.03375527426160337,0.0,5.0,21905241.976268966,60.182054636670586,nan,nan,0.0,nan,nan,10.0,46354675.567631125,79.61378972217123,nan,nan,0.0,nan,nan,15.0,40937547.81357326,80.77666015230888,43310642.74793238,64.98196110021253,0.14508261658159674,19199.743987929778,0.6466790068692528,20.0,3224986498.7048903,35.29575965951524,2470148336.4924846,37.50738655940089,0.23529026657404373,25861.789257336462,0.6770333745072108
WARM_RH_DYN_PLUS,C:\git_repos\two_moment_microphysics_lightning_model_experiments\outputs\group2\final_decomposto\WARM_RH_DYN_PLUS\resultados_WARM_RH_DYN_PLUS.npz,-22709865.244811777,199981604.82257158,0.0,44751.17114081602,0.4577686906419426,15.0,8283.819162360227,1.2673406833852454,232.4337818437342,11603226599.170685,0.020031823032771498,0.0914039983894782,20.0,12456.660981828823,0.6046802115703974,34.399905011052,0.0,0.0,0.012903225806451613,0.0,5.0,24639561.88083148,70.18091171179653,nan,nan,0.0,nan,nan,10.0,46169014.84446941,81.342800753878,nan,nan,0.0,nan,nan,15.0,52306799.678412236,81.58617293642519,57932717.35987042,84.57893576597661,0.4577686906419426,8283.819162360227,1.2673406833852454,20.0,148764163.05728462,25.962250839772647,163018601.77412397,26.481699717469837,0.13194850146433335,14065.30726538756,0.6354350461239587
