caso,perfil_ambiente,modo_umidade,descricao_umidade,delta_t_ambiente_k,preservar_rh,qv_inicial_preservado,rh_inicial_preservada,bolha_k,bolha_qv_kgkg,forc_dyn_amp_m_s2,forc_dyn_z0_m,forc_dyn_rx_m,forc_dyn_rz_m,forc_dyn_inicio_s,forc_dyn_duracao_s,tempo_total_min,cfl_max_adv,cfl_max_diff,T_superficie_K,qv_superficie_kgkg,RH_superficie,RH_0_2km_media,RH_min_perfil,RH_max_perfil,w_max_m_s,tempo_w_max_s,z_w_max_m,topo_nuvem_m,qc_max_kgkg,qr_max_kgkg,qi_max_kgkg,qs_max_kgkg,qg_max_kgkg,q_liquido_fase_mista_max_kgkg,q_congelado_fase_mista_max_kgkg,qg_fase_mista_max_kgkg,fase_mista_ativa,w_minus15_max_m_s,qg_minus15_max_kgkg,graupel_minus15_ativo,updraft_minus15_ativo,f1_max,f2_max,f3_max,lpi_star_max,f3_mean_valid,lpi_star_mean_valid,frac_mccaul_valido,frac_lpi_valido,cfl_adv_ok,cfl_diff_ok,cfl_ok,f3_ativo,lpi_ativo,candidato_D0,ambiente_varredura
SCAN_WARM_D_0p55ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.55,800.0,2000.0,700.0,0.0,900.0,40.0,0.24821801864347343,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,20.859017093891886,600.0,1100.0,15000.0,0.0027219877741028846,0.001308492164573979,3.3663975720581445e-09,0.0,2.3362741504003444e-11,0.00018196713887536753,3.374660642940187e-09,2.3362741504003444e-11,True,5.107336358197099,0.0,False,True,0.0,2.2402275307990374e-07,1.1201137653995187e-08,0.0004025627911680008,2.8929092863709573e-09,1.2099428023663054e-06,1.0,1.0,True,True,True,True,True,False,WARM
SCAN_WARM_D_0p6ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.6,800.0,2000.0,700.0,0.0,900.0,40.0,0.26164111910229393,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,23.606240684458054,600.0,1100.0,15000.0,0.002863265378131258,0.0013697056410673866,1.584771931492939e-08,0.0,6.79308537279948e-11,0.0002396437804314814,1.5869049949333004e-08,6.79308537279948e-11,True,5.911858797374384,0.0,False,True,0.0,8.497312501817887e-07,4.2486562509089434e-08,0.0010919647909122007,3.066557784695835e-09,4.917764710088823e-06,1.0,1.0,True,True,True,True,True,False,WARM
SCAN_WARM_D_0p65ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.65,800.0,2000.0,700.0,0.0,900.0,40.0,0.2768124562856069,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,26.340440304567096,600.0,1200.0,15000.0,0.0029462612861396167,0.001714030435579008,7.710422610579103e-08,0.0,1.1981560856237547e-10,0.00029676973608945534,7.71695094332229e-08,1.1981560856237547e-10,True,6.706270283128923,0.0,False,True,0.0,3.826268282745429e-06,1.9131341413727146e-07,0.0012873040134248977,4.076811374302948e-09,7.110245256152805e-06,1.0,1.0,True,True,True,True,True,False,WARM
SCAN_WARM_D_0p7ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.7,800.0,2000.0,700.0,0.0,900.0,40.0,0.3002000357711894,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,28.884637979915333,600.0,1300.0,15000.0,0.0032953006011049433,0.0019018366492650183,3.1084914241454694e-07,0.0,3.252419545865814e-07,0.0003120572762752777,3.252419545865814e-07,3.252419545865814e-07,True,7.228018519055502,0.0,False,True,0.0,1.3784922282383467e-05,6.892461141191734e-07,0.0038636052456130473,9.28662983656566e-09,2.2800772054925767e-05,1.0,1.0,True,True,True,True,True,False,WARM
SCAN_WARM_D_0p75ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.75,800.0,2000.0,700.0,0.0,900.0,40.0,0.3224744757762752,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,31.443201121014926,600.0,1300.0,15000.0,0.0035543261165927663,0.002308805790795512,0.0005547261561779755,2.5646244443374526e-06,3.227034470847812e-06,0.00030042036976403544,0.0005585535437600476,3.227034470847812e-06,True,7.4333209467083226,0.0,False,True,0.0,0.03211552463537184,0.001605776231768592,0.00560477768470958,8.339308070533902e-06,2.5935925119870787e-05,1.0,1.0,True,True,True,True,True,False,WARM
SCAN_WARM_D_0p8ms2,referencia,qv_fixo,qv fixo; RH variavel,4.0,False,True,False,0.0,0.0,0.8,800.0,2000.0,700.0,0.0,900.0,40.0,0.3433900434633302,0.005,304.0,0.01595299970771559,0.5497283131152979,0.4097033254132461,0.12025260036031613,0.5497283131152979,33.85547745315897,600.0,1400.0,15000.0,0.0030393746612224284,0.002929681574018433,0.001058567532827666,1.5983989350598238e-05,1.7926725219210706e-06,0.0002737473803232472,0.0010722843271886097,1.7926725219210706e-06,True,7.25545674100856,0.0,False,True,0.0,0.07738386062027469,0.003869193031013735,0.014484622097779225,2.889609811532644e-05,6.470271438451464e-05,1.0,1.0,True,True,True,True,True,False,WARM
