caso,perfil_ambiente,modo_umidade,descricao_umidade,delta_t_ambiente_k,preservar_rh,qv_inicial_preservado,rh_inicial_preservada,bolha_k,bolha_qv_kgkg,forc_dyn_amp_m_s2,forc_dyn_z0_m,forc_dyn_rx_m,forc_dyn_rz_m,forc_dyn_inicio_s,forc_dyn_duracao_s,tempo_total_min,cfl_max_adv,cfl_max_diff,T_superficie_K,qv_superficie_kgkg,RH_superficie,RH_0_2km_media,RH_min_perfil,RH_max_perfil,w_max_m_s,tempo_w_max_s,z_w_max_m,topo_nuvem_m,qc_max_kgkg,qr_max_kgkg,qi_max_kgkg,qs_max_kgkg,qg_max_kgkg,q_liquido_fase_mista_max_kgkg,q_congelado_fase_mista_max_kgkg,qg_fase_mista_max_kgkg,fase_mista_ativa,w_minus15_max_m_s,qg_minus15_max_kgkg,graupel_minus15_ativo,updraft_minus15_ativo,f1_max,f2_max,f3_max,lpi_star_max,f3_mean_valid,lpi_star_mean_valid,frac_mccaul_valido,frac_lpi_valido,cfl_adv_ok,cfl_diff_ok,cfl_ok,f3_ativo,lpi_ativo,candidato_D0,ambiente_varredura
SCAN_CTRL_D_0p55ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.55,800.0,2000.0,700.0,0.0,900.0,40.0,0.26689540560161434,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,25.96173542713867,600.0,1400.0,15000.0,0.01171637566313213,0.005289279859369043,0.004734036750714306,0.0005546618009315512,0.0015629561999570376,0.006784234815794321,0.005122466634215017,0.0015629561999570376,True,8.844563432347117,5.9582581784956094e-05,True,True,0.022133240810522273,0.8999544352776057,0.055350364565249555,13.59096985136649,0.0029900802079489033,0.07332190827363826,1.0,1.0,True,True,True,True,True,True,CTRL
SCAN_CTRL_D_0p6ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.6,800.0,2000.0,700.0,0.0,900.0,40.0,0.29130306094522496,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,28.535133157731767,600.0,1400.0,15000.0,0.01416615934701897,0.004711325096113958,0.008470943132493473,0.0028759611957982958,0.0007707867150382383,0.008046658805984843,0.008572711933722369,0.0007707867150382383,True,11.857918960618033,8.028112569003009e-05,True,True,0.03666348373119739,0.9917116057939901,0.08359247236835948,20.768883052591452,0.006215796368056477,0.11370297183442228,1.0,1.0,True,True,True,True,True,True,CTRL
SCAN_CTRL_D_0p65ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.65,800.0,2000.0,700.0,0.0,900.0,40.0,0.31400427230952543,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,31.014516319744676,600.0,1500.0,15000.0,0.011026512025015459,0.0038541312664494777,0.007186214646725355,0.004256857596129548,0.0008797548063611196,0.007516480681133526,0.0076160011002970795,0.0008797548063611196,True,17.730190846303138,5.9886859523436246e-05,True,True,0.0445958288385234,1.8545695554057215,0.12562088765893653,68.83586548343169,0.010197108140289079,0.3732100054994168,1.0,1.0,True,True,True,True,True,True,CTRL
SCAN_CTRL_D_0p7ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.7,800.0,2000.0,700.0,0.0,900.0,40.0,0.33548028504577376,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,33.32109974821535,600.0,1600.0,15000.0,0.01679812236592335,0.0032919833164606377,0.0076506783469980745,0.0049981668058323965,0.0009502875750222534,0.008399276319381902,0.00793436478691387,0.0009502875750222534,True,30.073627531344854,0.0002541192253340189,True,True,0.32097605111246547,2.098586469998073,0.4098565720567458,92.24590248234192,0.013004898331164007,0.4281603159112478,1.0,1.0,True,True,True,True,True,True,CTRL
SCAN_CTRL_D_0p75ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.75,800.0,2000.0,700.0,0.0,900.0,40.0,0.3561152877466504,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,35.47487559679807,600.0,1700.0,15000.0,0.01668594156199238,0.003252308607757743,0.007595960219076725,0.005124861103925496,0.0007013363386188851,0.01017932689520187,0.007818196121288508,0.0007013363386188851,True,18.64978932982471,0.00011445278242939843,True,True,0.08827653871738982,2.064521552952532,0.18708878942914692,50.43463683277525,0.012714672145429614,0.35079897672679694,1.0,1.0,True,True,True,True,True,True,CTRL
SCAN_CTRL_D_0p8ms2,referencia,qv_fixo,qv fixo; RH variavel,0.0,False,True,False,0.0,0.0,0.8,800.0,2000.0,700.0,0.0,900.0,40.0,0.3756006909995633,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.19999999999999998,0.7,37.49107029109961,600.0,1800.0,15000.0,0.016914195194360666,0.0032116322414446276,0.008529743414236192,0.005284335220982422,0.0005972233430188607,0.008689740800159933,0.008716716479866913,0.0005972233430188607,True,19.193959577221378,0.00015691322082803805,True,True,0.12649501274360891,1.8816615019561747,0.1694500998697775,134.32766170359992,0.013115314490440622,0.800931383693956,1.0,1.0,True,True,True,True,True,True,CTRL
