caso,delta_t_ambiente_k,preservar_rh,qv_inicial_preservado,bolha_k,bolha_qv_kgkg,forc_dyn_amp_m_s2,forc_dyn_z0_m,forc_dyn_rx_m,forc_dyn_rz_m,forc_dyn_inicio_s,forc_dyn_duracao_s,tempo_total_min,cfl_max_adv,cfl_max_diff,T_superficie_K,qv_superficie_kgkg,RH_superficie,RH_0_2km_media,RH_min_perfil,RH_max_perfil,w_max_m_s,tempo_w_max_s,z_w_max_m,topo_nuvem_m,qc_max_kgkg,qr_max_kgkg,qi_max_kgkg,qs_max_kgkg,qg_max_kgkg,q_liquido_fase_mista_max_kgkg,q_congelado_fase_mista_max_kgkg,qg_fase_mista_max_kgkg,fase_mista_ativa,w_minus15_max_m_s,qg_minus15_max_kgkg,graupel_minus15_ativo,updraft_minus15_ativo,f1_max,f2_max,f3_max,lpi_star_max,f3_mean_valid,lpi_star_mean_valid,frac_mccaul_valido,frac_lpi_valido,cfl_adv_ok,cfl_diff_ok,cfl_ok,f3_ativo,lpi_ativo,candidato_D0
SCAN_D_0p5ms2,0.0,False,True,0.0,0.0,0.5,800.0,2000.0,700.0,0.0,900.0,40.0,0.24135341902142707,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,23.216042491370757,600.0,1300.0,10900.0,0.003713113051094871,0.005142619396139196,0.0024413502901738924,0.0001244868760536599,0.00033324406910515656,0.0016953458985497073,0.0028577790298809167,0.00033324406910515656,True,3.887550877784753,9.057289661147734e-05,True,True,0.014479887577880164,0.34419555219283016,0.025797984399549924,0.24453383209070845,0.0006274007325518739,0.0014486362658552223,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p55ms2,0.0,False,True,0.0,0.0,0.55,800.0,2000.0,700.0,0.0,900.0,40.0,0.266896042219508,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,25.96171153169948,600.0,1400.0,10900.0,0.01239192234787918,0.005298617129631994,0.005854149363184848,0.0017247929118088688,0.0014225575668620016,0.005912813549036074,0.00587430888420519,0.0014225575668620016,True,9.228788899857426,9.129578483816706e-05,True,True,0.03365303364620714,0.8303430998720371,0.06468191566513087,13.662074298848061,0.0032608573641185303,0.09493043800062918,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p6ms2,0.0,False,True,0.0,0.0,0.6,800.0,2000.0,700.0,0.0,900.0,40.0,0.2912984030301575,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,28.535196921319713,600.0,1400.0,10900.0,0.012123220134147905,0.0046495076533581555,0.00841499602762074,0.0027901481216300768,0.000733174708176031,0.00873116833439422,0.008620149142437968,0.000733174708176031,True,12.864034877007077,6.857288879496417e-05,True,True,0.013179503588913767,1.0670338579629957,0.060500390735471345,20.60694583410849,0.0051942058124233035,0.12712944357991934,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p65ms2,0.0,False,True,0.0,0.0,0.65,800.0,2000.0,700.0,0.0,900.0,40.0,0.3140015323543178,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,31.014403695097954,600.0,1500.0,10900.0,0.011147432242191037,0.0038760774126590392,0.007106375241329191,0.004251052134630801,0.0008556328771016182,0.006079935027284708,0.007437485357178221,0.0008556328771016182,True,15.128311498201292,4.924823422667561e-05,True,True,0.013624208574984148,1.6925740367515036,0.09397223184994215,50.3809401084038,0.008891235929386164,0.34836242294332015,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p7ms2,0.0,False,True,0.0,0.0,0.7,800.0,2000.0,700.0,0.0,900.0,40.0,0.33548100057934976,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,33.32108025265267,600.0,1600.0,10900.0,0.009501644275108571,0.003327435306131,0.007434995041152125,0.005145191038767341,0.0009166060653409465,0.008444863805826106,0.008018017017673743,0.0009166060653409465,True,29.978402996257834,0.00026721151048728705,True,True,0.33644412255832,2.0384471027442737,0.4215442715676177,88.86969344916355,0.010509449317923986,0.5273636411067281,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p75ms2,0.0,False,True,0.0,0.0,0.75,800.0,2000.0,700.0,0.0,900.0,40.0,0.3561145950143017,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,35.474833046993574,600.0,1700.0,10900.0,0.020070319419753894,0.003064048534250282,0.006939608770327694,0.005131806161694814,0.0006991990692292586,0.0066532853860010975,0.008237953338137802,0.0006991990692292586,True,19.467429835834736,0.00013502549324733427,True,True,0.10749613270396881,2.066806589136307,0.2054616555255857,152.11940441589186,0.014498193589152117,0.5874141086580972,1.0,1.0,True,True,True,True,True,True
SCAN_D_0p8ms2,0.0,False,True,0.0,0.0,0.8,800.0,2000.0,700.0,0.0,900.0,40.0,0.37560138030678897,0.005,300.0,0.01595299970771559,0.6999999999999998,0.5261904761904761,0.2,0.7,37.49091528149283,600.0,1800.0,10900.0,0.019730528742102023,0.0032760932604032045,0.007693412739449027,0.005169893106722171,0.0006036412590461282,0.00653635275386967,0.008771759509826157,0.0006036412590461282,True,24.341504548715477,0.0002345578299979971,True,True,0.23979860040498926,1.8798211893161128,0.27911786451498327,99.75745390354334,0.015670841579203853,0.6727000700612685,1.0,1.0,True,True,True,True,True,True
