caso,perfil_ambiente,modo_umidade,descricao_umidade,delta_t_ambiente_k,preservar_rh,qv_inicial_preservado,rh_inicial_preservada,bolha_k,bolha_qv_kgkg,forc_dyn_amp_m_s2,forc_dyn_z0_m,forc_dyn_rx_m,forc_dyn_rz_m,forc_dyn_inicio_s,forc_dyn_duracao_s,tempo_total_min,cfl_max_adv,cfl_max_diff,T_superficie_K,qv_superficie_kgkg,RH_superficie,RH_0_2km_media,RH_min_perfil,RH_max_perfil,w_max_m_s,tempo_w_max_s,z_w_max_m,topo_nuvem_m,qc_max_kgkg,qr_max_kgkg,qi_max_kgkg,qs_max_kgkg,qg_max_kgkg,q_liquido_fase_mista_max_kgkg,q_congelado_fase_mista_max_kgkg,qg_fase_mista_max_kgkg,fase_mista_ativa,w_minus15_max_m_s,qg_minus15_max_kgkg,graupel_minus15_ativo,updraft_minus15_ativo,f1_max,f2_max,f3_max,lpi_star_max,f3_mean_valid,lpi_star_mean_valid,frac_mccaul_valido,frac_lpi_valido,cfl_adv_ok,cfl_diff_ok,cfl_ok,f3_ativo,lpi_ativo,candidato_D0,ambiente_varredura
SCAN_WARM_D_0p55ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.55,800.0,2000.0,700.0,0.0,900.0,40.0,0.285795174018351,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,27.167805331803283,600.0,1400.0,15000.0,0.02768354260075311,0.005499761118364375,0.010134432723214664,0.0035112419165913983,0.00023529026657404371,0.011149241647399048,0.010165478531438146,0.00023529026657404371,True,25.259920628677747,2.8272336215979953e-05,True,True,0.01221444381589985,1.2308548498369511,0.07071989177094921,40.25158020473825,0.0092158456044399,0.294056861630913,1.0,1.0,True,True,True,True,True,True,WARM
SCAN_WARM_D_0p6ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.6,800.0,2000.0,700.0,0.0,900.0,40.0,0.3252220895993383,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,31.636337859825918,1200.0,6400.0,15000.0,0.017902524118409712,0.005401325441516273,0.0089609152634403,0.004736519721467519,0.00044315447712712147,0.00862059754715623,0.009348445466864546,0.00044315447712712147,True,21.885119616847586,3.106235227326094e-05,True,True,0.015720976673269563,2.0245568696768603,0.10594230025364998,126.13410665821435,0.010798147256315746,0.6187318408397919,1.0,1.0,True,True,True,True,True,True,WARM
SCAN_WARM_D_0p65ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.65,800.0,2000.0,700.0,0.0,900.0,40.0,0.36901035833025264,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,36.43944630625603,1200.0,7100.0,15000.0,0.006685678865549591,0.005826339512787859,0.008759042227500508,0.006234304521014086,0.0004577686906419426,0.006775664184501226,0.009370341110041354,0.0004577686906419426,True,35.01586679982682,9.14039983894782e-05,True,True,0.1320601322135928,2.082361971079558,0.2255561644889016,43.50389003692801,0.013059197514745949,0.3334187717690131,1.0,1.0,True,True,True,True,True,True,WARM
SCAN_WARM_D_0p7ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.7,800.0,2000.0,700.0,0.0,900.0,40.0,0.4019798368763383,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,37.83302488896422,1200.0,7700.0,15000.0,0.020270249984686305,0.0056849690898108035,0.00876432508828475,0.006301096947400601,0.0006072600895824019,0.008814857185277868,0.009618081762976523,0.0006072600895824019,True,21.05547468510086,0.00011328668998827103,True,True,0.04065818353875962,1.9909808827004956,0.1379545858866665,36.58771766116177,0.015421431043357609,0.26730478363689675,1.0,1.0,True,True,True,True,True,True,WARM
SCAN_WARM_D_0p75ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.75,800.0,2000.0,700.0,0.0,900.0,40.0,0.4255021029122434,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,36.40030309938937,600.0,1800.0,15000.0,0.014705931811478563,0.005244842856474559,0.009439867995736826,0.006421424624317252,0.0008429646161724476,0.011137867411063625,0.009930933408134373,0.0008429646161724476,True,27.366381626914396,0.00021665225713633947,True,True,0.24901751066326905,1.9737124230465413,0.26973075744177594,153.51431709006513,0.016095241015949533,0.658260170166819,1.0,1.0,True,True,True,True,True,True,WARM
SCAN_WARM_D_0p8ms2,referencia,rh_fixa,RH fixa; qv ajustado com o aquecimento,4.0,True,False,True,0.0,0.0,0.8,800.0,2000.0,700.0,0.0,900.0,40.0,0.44882141967344796,0.005,304.0,0.020313852368485825,0.7,0.5261904761904761,0.19999999999999998,0.7000000000000001,38.33022662549966,600.0,1900.0,15000.0,0.02044652473798766,0.004298282868845035,0.010016241052430137,0.006218764488968433,0.0008536532542453704,0.011037905712788567,0.010089629957796066,0.0008536532542453704,True,28.523354292155325,0.0002122117306563779,True,True,0.22559438044567512,2.023057795173453,0.2586334156299763,126.1577795147801,0.01789210798079615,0.9705913984009092,1.0,1.0,True,True,True,True,True,True,WARM
